epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,392.815,1.62044,2.46263,1.21032,1.18248,0.68738,0.59379,0.61467,0.36033,0.60423,0.66076,0.62751,0.34472,1.85913,2.82913,1.48675,1.30107,0.00117435,0.00117435,0.00117435
56,399.743,1.64527,2.50026,1.23355,1.16117,0.70019,0.59018,0.61996,0.35544,0.62914,0.60586,0.60628,0.34314,1.8278,2.79551,1.52952,1.29435,0.00116964,0.00116964,0.00116964
57,407.002,1.66708,2.45042,1.21733,1.16335,0.70154,0.55792,0.6042,0.33604,0.71593,0.55196,0.59178,0.34019,1.87043,2.86314,1.53407,1.30996,0.00116492,0.00116492,0.00116492
58,413.622,1.64474,2.45656,1.21425,1.1586,0.61502,0.62967,0.60583,0.33292,0.61668,0.60875,0.58875,0.33587,1.8845,2.85347,1.46988,1.29707,0.00116021,0.00116021,0.00116021
59,420.69,1.62558,2.4215,1.19235,1.15974,0.61727,0.62339,0.59451,0.32573,0.65627,0.56543,0.57463,0.3278,1.90575,2.86222,1.49215,1.29764,0.00115549,0.00115549,0.00115549
60,427.278,1.63637,2.45158,1.17596,1.14524,0.69196,0.63256,0.62572,0.34465,0.69179,0.60569,0.59345,0.33787,1.93451,2.91548,1.48849,1.28849,0.00115077,0.00115077,0.00115077
61,434.526,1.59441,2.43437,1.19859,1.13914,0.66529,0.61364,0.62068,0.34522,0.72167,0.61165,0.61893,0.33282,1.87087,2.84906,1.4034,1.27583,0.00114606,0.00114606,0.00114606
62,441.105,1.61455,2.42451,1.15697,1.14749,0.70866,0.56065,0.60324,0.3441,0.64191,0.60322,0.61469,0.34212,1.94479,2.87509,1.41482,1.3252,0.00114134,0.00114134,0.00114134
63,448.306,1.64111,2.5035,1.16425,1.13171,0.65347,0.61454,0.62564,0.34385,0.62743,0.63501,0.62744,0.33623,1.96027,3.04444,1.42231,1.31767,0.00113663,0.00113663,0.00113663
64,455.632,1.6491,2.50354,1.21133,1.16318,0.62326,0.64384,0.63102,0.34681,0.58749,0.64816,0.61882,0.33996,1.87948,2.95481,1.43653,1.29329,0.00113191,0.00113191,0.00113191
65,462.148,1.62368,2.47553,1.21824,1.16423,0.59073,0.62162,0.59633,0.33992,0.6388,0.5999,0.57547,0.32093,1.86366,2.92581,1.47916,1.32212,0.0011272,0.0011272,0.0011272
66,469.354,1.62283,2.44242,1.18479,1.17254,0.73479,0.61505,0.64004,0.33728,0.74774,0.59689,0.63059,0.34128,1.86423,2.96731,1.43988,1.33121,0.00112248,0.00112248,0.00112248
67,475.922,1.60449,2.48566,1.22062,1.13664,0.72675,0.57867,0.63113,0.36435,0.76158,0.56371,0.61446,0.3497,1.81648,2.94674,1.42199,1.29782,0.00111776,0.00111776,0.00111776
68,483.193,1.57863,2.4215,1.19222,1.14094,0.72271,0.57308,0.62741,0.37108,0.66234,0.6147,0.62977,0.35849,1.84749,2.91262,1.44733,1.29185,0.00111305,0.00111305,0.00111305
69,489.828,1.64504,2.47813,1.20373,1.15763,0.71787,0.6147,0.62569,0.35383,0.70035,0.58172,0.60391,0.33283,1.88015,3.03344,1.51342,1.33208,0.00110833,0.00110833,0.00110833
70,496.947,1.59148,2.39293,1.13723,1.12019,0.65181,0.63715,0.61137,0.33572,0.63181,0.59024,0.56718,0.32941,1.91703,3.04104,1.4774,1.34386,0.00110362,0.00110362,0.00110362
71,504.197,1.58196,2.34826,1.15114,1.14291,0.64186,0.60214,0.60107,0.32725,0.767,0.54585,0.58569,0.33028,1.96172,3.05177,1.49314,1.36547,0.0010989,0.0010989,0.0010989
72,510.897,1.58232,2.37319,1.13005,1.12269,0.60385,0.61165,0.59457,0.3473,0.63414,0.57593,0.57406,0.33277,1.95035,2.99166,1.48326,1.33801,0.00109419,0.00109419,0.00109419
73,518.24,1.60686,2.4024,1.15939,1.1516,0.64341,0.66844,0.61493,0.33945,0.59146,0.65364,0.581,0.31858,1.91538,2.91393,1.43644,1.31335,0.00108947,0.00108947,0.00108947
74,524.878,1.60521,2.42674,1.16832,1.15972,0.65765,0.63256,0.60173,0.32407,0.68051,0.59363,0.59042,0.31241,1.98448,2.92877,1.44023,1.31913,0.00108475,0.00108475,0.00108475
75,532.098,1.56836,2.3991,1.15378,1.14667,0.64854,0.62097,0.60636,0.33164,0.63751,0.59669,0.58072,0.33047,1.9654,2.93538,1.43658,1.31973,0.00108004,0.00108004,0.00108004
76,538.744,1.54955,2.33124,1.12774,1.1144,0.68056,0.62661,0.61097,0.33347,0.64295,0.59974,0.58574,0.32067,1.97848,3.08422,1.46768,1.32989,0.00107532,0.00107532,0.00107532
77,546.02,1.58363,2.3548,1.15188,1.1282,0.67132,0.61419,0.60341,0.31753,0.77871,0.56643,0.59915,0.32657,1.93667,3.17768,1.49129,1.35434,0.00107061,0.00107061,0.00107061
78,553.362,1.60669,2.43697,1.16573,1.13917,0.65469,0.56081,0.57515,0.33076,0.75339,0.54738,0.57053,0.3194,1.8977,3.11662,1.49506,1.34757,0.00106589,0.00106589,0.00106589
79,560.024,1.59249,2.42019,1.14886,1.13385,0.66601,0.59073,0.60479,0.35384,0.74948,0.53684,0.57686,0.34261,1.90061,2.97152,1.47477,1.36208,0.00106118,0.00106118,0.00106118
